9:13:38,10710422,Maguito Vilela testa positivo para Covid-19 https://t.co/cyPfrDQRLu https://t.co/PYHbABdoIJ,79
9:13:40,82350646,Covid-19: investigadores do Reino Unido querem infetar jovens saudáveis para acelerar o desenvolvimento de uma vaci… https://t.co/y91Ji0w7Po,80
9:14:3,67792268,"RT @OsmarTerra: Argentina, fechada na quarentena mais longa e radical do mundo, disparou no aumento % de mortes por Covid,quadruplicando es…",81
9:14:16,717462047076782080,@reinaldoazevedo O Covid é da base de sustentação do governo.,82
9:14:20,271991470,"RT @gazeta_brasil: Vermífugo Annita “é capaz de reduzir a carga viral da Covid-19”, anuncia Marcos Pontes  https://t.co/mhpH4Vidy5",83
9:14:25,241421596,RT @dermatosp: ┏┓  ┃┃╱╲Nesta casa ┃╱╱╲╲ nós culpamos  ╱╱╭╮╲╲a China pelo ▔▏┗┛▕▔    ╱▔▔▔▔▔▔▔▔▔▔╲              Coronavírus  |＿＿＿＿＿＿＿＿＿＿＿|…,84
9:14:25,87021796,A obrigatoriedade da vacina contra Covid-19 não deveria nem ser tema de discussão. Só é pq temos um presidente char… https://t.co/Q82oWtPj75,85
9:14:28,2790064920,"Vacinação contra Covid-19 no Ceará pode ocorrer até julho de 2021, diz secretário da Saúde https://t.co/kTMowAZjzj",86
9:14:29,727657859425701889,"E você acreditando que a VaChina do Ditadória vai dar certo. O mundo está em guerra, e os tolos serão os mais afeta… https://t.co/nJ4Y14oTcZ",87
9:14:41,1361633971,"RT @gazeta_brasil: Vermífugo Annita “é capaz de reduzir a carga viral da Covid-19”, anuncia Marcos Pontes  https://t.co/mhpH4Vidy5",88
9:15:9,18888488,"Paciente internado com Covid-19 pode ter sintomas por meses, diz estudo https://t.co/pJTusWQykj #covid19… https://t.co/HE2vXI4RiI",89
9:15:11,823079677346586625,SP: HC de Botucatu recebe aparelho para ampliar realização de testes de COVID-19 https://t.co/K8PLuOyXut,90
9:15:12,2379381407,"RT @gazeta_brasil: Vermífugo Annita “é capaz de reduzir a carga viral da Covid-19”, anuncia Marcos Pontes  https://t.co/mhpH4Vidy5",91
9:15:12,195511322,Notícias &amp; Atualizações do #Coronavirus - Baixe e ouça depois #Podcasts OFFLINE https://t.co/zNmWHJ7zYI,92
9:15:13,221219622,SP: HC de Botucatu recebe aparelho para ampliar realização de testes de COVID-19 https://t.co/pmEOAE8jXA,93
9:15:14,761570459875934208,SP: HC de Botucatu recebe aparelho para ampliar realização de testes de COVID-19 https://t.co/jXEtPrj1zU,94
