12:6:37,Covid-19. Aplicação StayAway Covid com mais de dois milhões de utilizadores https://t.co/WrhCrQ4KgR,61
12:6:39,Covid-19. Ordem dos Advogados indicia “violação grave” de direitos em lar de Matosinhos https://t.co/qdVWEIYUya,62
12:6:40,Covid-19. Infetados seis utentes e um funcionário em lar de Belmonte https://t.co/t8yaeRDBs4,63
12:6:41,"Após ter Covid-19, Elano já pode retornar às atividades no Figueirense. #NDmais https://t.co/D86otCgS8Q",64
12:6:41,"Após ter Covid-19, Elano já pode retornar às atividades no Figueirense. #NDmais https://t.co/wKSOZWqHmq",65
12:6:43,"Covid-19. Mais de 40 milhões de casos em todo o mundo, 2,5 milhões numa semana https://t.co/NVbNbsc4RB",66
12:6:43,Está sendo coerente. Nunca orientou a população a seguir os protocolos de segurança. Ele mesmo nunca seguiu. Defend… https://t.co/WyYTQgOBWC,67
12:6:52,RT @doandreleao: Administradores públicos ainda estão tranquilos em detrimento das aglomerações e fuga aos protocolos da pandemia porque at…,68
12:7:37,RT @JoaoeFerraz: QUEM poderia imaginar que o uso indiscriminado de antibióticos nos kits covid poderiam se tornar uma preocupação por eleva…,69
12:7:54,Covid-19: Subiu para 10 número de infetados no Agrupamento de Escolas de Mogadouro https://t.co/C71f8FOLnK https://t.co/1X24rBEzC2,70
12:7:59,Covid-19. Aplicação StayAway Covid com mais de dois milhões de utilizadores https://t.co/APFYqcAeAf https://t.co/7MPvet7D9F,71
12:8:11,Novo chefe da British Airways defende teste de coronavírus antes dos voos https://t.co/Lb2eJvxsWr,72
12:8:12,RT @viniciussexto: E-mails do filho de Joe Biden expostos  pela Fox mostram que ele abriu a Casa Branca para empresas chinesas em troca con…,73
12:8:14,"Bolsonaro volta a atacar Doria por vacina: ""se intitula médico do Brasil"" https://t.co/mcFJGpOeJs via @UOLNoticias @UOL",74
12:8:21,Covid-19. Ordem dos Advogados indicia “violação grave” de direitos em lar de Matosinhos https://t.co/4Qqii6Uhcn https://t.co/yh507XNAfh,75
12:8:22,Enquanto o Brasil completa uma semana em tendência de queda de óbitos por Covid; com média móvel é de 483 mortos po… https://t.co/TxzjRRr5mm,76
12:8:23,Covid-19. Infetados seis utentes e um funcionário em lar de Belmonte https://t.co/54QK6pubZa https://t.co/heEs4YNiyq,77
12:8:25,"Covid-19. Mais de 40 milhões de casos em todo o mundo, 2,5 milhões numa semana https://t.co/LxyeDTzqia https://t.co/r9XXjYIeSH",78
12:8:26,RT @munizpapamike: Você é a favor da obrigatoriedade da vacina contra a Covid?,79
12:9:36,"#Destaque | O Amazonas já acumula mais de 151 mil casos da covid-19, conforme aponta o Boletim Diário da Fundação d… https://t.co/SKnpRYd2PZ",80
12:9:37,Sociedade - Declaração médica substitui teste negativo à Covid-19 em regresso à escola ou emprego  https://t.co/uotwn7txHo,81
12:9:41,A Vacina contra o Covid-19 não será obrigatória no Brasil.  Esse é o tweet.,82
12:9:55,Brasil registra primeiro caso confirmado de covid-19 em gato https://t.co/I4uhuOmZ1y #JornalDaRecord #JR24H https://t.co/rWCPIGIeQ8,83
12:9:55,A razão do #ForaMaiaBotafogo #ForaAlcolumbre #NÃOVOTEMNODEM terem impedido de usar o MALDITO FUNDO ELEITORAL  para… https://t.co/oxWcL1Pg30,84
12:10:0,"RT @brunnosarttori: Papai do céu, que o Bolsonaro pegue uns 30 anos de cadeia por torrar dinheiro público, comprando insumos superfaturados…",85
12:10:3,"Dior, Prada e outros titãs da moda se rendem ao fetiche por estilo Covid https://t.co/ICTCavX2v0 https://t.co/BYtNU4C3Cb",86
12:10:6,COVID-19 | Como serão as eleições municipais? Confira as medidas de proteção #tecnologia #ciencia #hardware #mobile… https://t.co/CNQex4L0It,87
12:10:10,"Covid-19: mundo tem mais de 40 milhões de casos, aponta universidade americana   https://t.co/j3Jav1BXH0",88
12:10:26,Qual é afinal a posição da OMS sobre o confinamento contra a covid-19? https://t.co/oUfByCu1Yz,89
12:10:31,Covid-19: Portugal ultrapassou hoje 100 mil casos desde o início da pandemia https://t.co/0NuKMvnz78,90
12:10:33,Bolsonaro afirma que vacina contra covid-19 não será obrigatória https://t.co/VLSAQw4jxJ,91
12:10:34,"RT @oatila: Repare nas datas. É “possível” show com adaptações, atendendo exigências. Não quer dizer que é seguro. Aglomeração com pessoas…",92
12:10:35,"É inacreditável ver cenas como essa de Tailândia, no interior do Pará, quando o número de casos de covid-19 estão a… https://t.co/todlOXqxBv",93
12:10:45,Tocantins se aproxima das 1.050 mortes pela Covid-19 e confirma mais 138 novos casos nesta segunda-feira (19) https://t.co/qgm5NlAz9i,94
12:10:56,RT @sbtnews: Gatinha de Cuiabá é primeiro pet a ser contaminado com coronavírus no Brasil https://t.co/Ev9393Fxv7,95
12:11:11,"Melhoras ao prefeito gean loureiro!!! Não  concordo como ele travou tudo no começo dessa porra de covid, mas foi o… https://t.co/yGSKonZ0k4",96
12:11:18,"Após Salvador atingir 100% dos leitos clínicos pediátricos para Covid-19, ACM Neto garante: ‘Não teremos colapso’ https://t.co/YUGvRqbM4D",97
